YEAR	CODE	CHANGE	TENTURE	ROE	MEDIA	S0	AGE	INDUSTRY	ASSET	ROA	RETURN	DEBTRATIO	S1	S12	BOARDSIZE	CEOSTOCK	CONTROL
2001	33	1	5	1.2287	0	7.16585956	43	K	651066125.2	2.3494	-0.211779215	33.4981	22.99	3.83	7	0	1
2001	36	0	1	13.5546	0	7.831821225	43	C	4039973230	11.295	-0.215408106	65.2494	50.19	49.66	9	0	1
2002	36	0	2	12.8125	0	7.831850477	44	C	4015149487	9.547	-0.152192252	59.0202	50.19	49.66	9	0	1
2003	36	1	3	2.4407	0	7.387971272	45	C	4556559871	4.4383	-0.147768811	50.5777	40.15	38.35	9	0	1
2004	36	0	0	1.5396	4	7.389539432	55	C	2648174365	2.7011	-0.007197537	28.234	40.15	37.76	9	0	1
2005	36	0	1	0.1999	8	7.38758157	56	C	8816301940	2.6796	0.247648656	70.3449	40.15	38.37	9	0	1
1999	36	0	3	10.6486	1	7.832437067	50	C	2227263104	7.2616	0.776038244	54.35	50.19	48.92	9	0	1
2000	36	1	4	11.4063	1	7.831817137	51	C	2629279495	8.6484	0.326526971	58.2851	50.19	49.66	9	0	1
1999	37	0	2	19.7402	0	7.018365451	56	D	1004968087	13.9187	0.886147455	40.8888	23.47	7.85	11	0	1
2000	37	0	3	22.1545	0	6.922991614	57	D	1341408121	15.2375	0.521218168	46.5083	23.47	7.85	10	0	1
2001	37	0	4	25.0027	0	6.972527242	58	D	1556745163	19.3165	-0.086450574	37.281	22.97	7.69	10	0	1
2002	37	1	5	37.4634	2	6.972527242	59	D	2029161694	29.0722	0.037230381	41.3715	22.97	7.69	12	0	1
2003	37	0	1	35.7916	0	6.972527242	57	D	2571971073	23.8559	0.174507107	37.4776	22.97	7.69	13	0	1
2004	37	1	2	26.1735	0	6.972527242	58	D	3801416444	14.1871	-0.408353515	50.711	22.97	7.69	14	0	1
2005	37	0	0	1.815	0	6.972527242	58	D	4230486282	2.236	-0.295412458	59.8564	22.97	7.69	14	0	1
1999	38	1	1	-30.5312	0	7.584926216	49	G	183842392.3	-15.854	0.368040277	42.3187	35.48	14.19	9	0	1
2003	38	0	0.75	6.7898	0	7.329997134	35	G	261597021.5	4.4648	-0.161824253	50.2127	29.84	10.26	7	0	0
2004	38	1	1.75	-5.2795	0	7.329997134	36	G	254931692.6	-0.9956	-0.519637214	51.5389	29.84	10.26	7	0	0
2002	38	1	1	10.0544	0	7.350517071	37	G	211153816.6	5.853	-0.242657879	42.3694	29.84	10.26	6	0	0
2001	38	1	1	6.1168	0	7.220863768	34	G	168053251	1.6303	-0.150093756	24.6205	29.84	15.91	9	0	1
2000	38	1	1	4.0208	0	7.459381924	46	G	184439703.9	1.3325	0.513091836	26.3643	35.48	21.55	9	0	1
1999	42	0	3	9.3568	0	8.297080418	52	J	3031004494	5.7757	0.31477821	58.9668	62.8	54.55	9	0	1
2000	42	0	4	9.5304	0	8.297030044	53	J	3448564854	6.4074	0.164843206	59.8079	62.8	54.55	9	0	1
2001	42	1	5	8.6718	0	8.297027053	54	J	4115851137	5.6134	-0.25246136	64.7935	62.8	54.55	11	0	1
1999	43	0	0	3.7054	0	6.843698349	57	M	1158171502	3.256	0.460650615	59.268	25.66	15.02	9	0.000281356	1
2000	43	0	1	3.7581	0	6.843698349	58	M	1241916739	3.605	0.269044939	61.6141	25.66	15.02	9	0.000281356	1
2001	43	0	2	-39.8583	0	7.178264514	59	M	951485146	-11.3119	-0.232292782	70.5181	32.84	22.2	9	0.000281356	1
2002	43	1	3	10.019	0	7.178264514	60	M	827058745.4	5.8265	-0.233869424	63.4879	32.84	22.2	11	0.000281356	1
2003	43	0	0	9.8395	0	7.178264514	41	M	803756491.8	6.1233	-0.10943243	57.9788	32.84	22.2	11	0	1
2004	43	0	1	8.3763	0	7.178295872	42	M	1342211389	5.1279	-0.165384836	68.2462	32.84	22.2	9	0	1
2005	43	0	2	12.8891	0	7.178295872	43	M	1475725128	8.8837	0.270014682	66.9629	32.84	22.2	9	0	1
1999	45	0	0	8.5222	0	8.387041088	52	C	626262913.3	6.0923	0.346028774	56.9901	66.24	65.17	5	0.00022764	1
2000	45	0	1	8.5008	0	8.386873778	53	C	696570046.9	6.0607	0.125381979	52.9598	66.24	65.32	5	0.00022764	1
2001	45	0	2	8.6606	2	8.386671437	54	C	735019073.1	5.2612	-0.042535767	51.6163	66.24	65.67	5	0.00022764	1
2002	45	0	3	0.3879	2	8.386793826	55	C	746968561.7	1.6109	-0.351978629	50.4975	66.24	65.61	6	0.00022764	1
2003	45	0	4	10.591	2	8.386607422	56	C	706775686.9	6.2016	0.118042084	40.2522	66.24	66	7	0.00022764	1
2004	45	0	5	7.9721	2	8.386608835	57	C	670791020.9	6.4316	-0.323166159	35.79	66.24	66.01	7	0.00022764	1
2005	45	0	6	6.3569	2	8.386630143	58	C	659843681.5	5.7933	0.154251611	32.7173	66.24	65.92	6	0.00022764	1
2001	49	0	1	8.2638	0	8.395181726	48	C	468852378.4	5.8897	-0.311696732	68.3133	66.52	65.73	5	0	1
2002	49	1	2	1.2637	0	8.395171468	49	C	338433132.8	2.9113	-0.345498585	58.5805	66.52	65.74	7	0	1
2004	49	0	0	2.3261	0	8.245488111	40	C	500615675.2	2.9658	-0.284895306	62.6804	61.52	56.52	9	0	1
2005	49	0	1	12.3866	0	7.948985141	41	C	599055788.4	5.9961	0.398011463	64.3976	53.04	48.71	9	0	1
2000	49	1	1	0.2033	0	8.395571894	35	C	460879727.2	1.2666	0.634241772	55.9544	66.52	65.65	7	0	1
1999	49	1	2	8.8374	0	8.395233558	56	C	444493216.8	6.5413	0.560766648	48.8891	66.52	65.73	8	0	1
2003	49	1	1.5	-26.2907	0	8.395167197	39	C	276946314.4	-8.2169	-0.014560574	59.2952	66.52	65.74	8	0	1
1999	50	0	3.7	6.5776	0	8.493977337	57	C	521682494.4	5.2905	0.426013231	35.5626	68.34	53.8	5	0.000084768	1
2000	50	0	4.7	9.5365	0	8.493989455	58	C	606933626.9	8.1082	0.172827024	43.023	68.34	53.8	5	0.000084768	1
2001	50	0	5.7	4.7154	0	8.227998001	59	C	857071330.3	4.0916	-0.270759219	18.4597	59.85	47.12	5	0.000074234	1
2002	50	1	6.7	-5.1516	0	8.228027138	60	C	1023249108	-2.4088	-0.14399165	36.0586	59.85	47.11	7	0.000074234	1
2003	50	0	0	6.9463	0	8.228038435	41	C	1121036882	6.4242	0.441561627	41.1292	59.85	47.11	9	0	1
2004	50	0	1	13.216	0	8.22800807	42	C	1509734724	8.7873	-0.391242864	50.1001	59.85	47.11	9	0	1
2005	50	0	2	7.2187	0	8.228005933	43	C	1331155187	5.6377	0.517069542	40.7777	59.85	47.11	9	0	1
1999	58	1	3	10.595	3	8.154277385	65	C	3922573943	6.727	1.889404627	50.2354	58.78	54.77	9	0.000045968	1
2000	58	0	0	0.8535	0	8.079774027	50	C	4108583391	1.6661	-0.376009613	45.749	56.67	52.99	7	0	1
2001	58	0	1	-24.1805	0	7.848376607	51	C	3459289773	-8.916	-0.237887287	56.2002	50.59	49.72	7	0	1
2002	58	0	2	8.4814	0	7.237755187	52	C	3722484306	6.4336	-0.031545009	54.1992	32.69	14.79	7	0	1
2003	58	0	3	12.8277	0	7.237755187	52	C	3875452356	6.6624	-0.01454132	52.0739	32.69	14.79	9	0	1
2004	58	0	4	7.3074	0	7.237755187	53	C	3860604837	4.35	-0.52237433	50.7736	32.69	14.79	9	0	1
